county,nearest_town,town_size,landcover_types,elevation_m,dist_to_town_m,dist_to_water_m,topographic_hazard,landcover_risk,water_proximity_risk,vulnerability_score,flood_risk_score,risk_category
Keiyo-Marakwet,Tot,Town,unknown,2439.0,5239.22798478411,10132757.027180748,0.0,0.0,0,1.5,0.3,Low
Keiyo-Marakwet,Cheblil,Town,unknown,1432.0,1673.9022677681485,10139084.56223231,0.0,0.0,0,6.0,1.2,Low
West Pokot,Chesengon,Town,unknown,1378.0,3196.7184182908713,10145412.097863855,0.0,0.0,0,3.0,0.6,Low
West Pokot,Lomut,Town,unknown,1046.0,7517.437861258335,10151739.6340743,0.0,0.0,0,1.5,0.3,Low
West Pokot,Lomut,Town,unknown,951.0,5868.430374763323,10158067.170862561,0.0,0.0,0,1.5,0.3,Low
West Pokot,Lomut,Town,forests,930.0,9615.209104798987,10164394.708227562,0.0,1.0,0,1.5,0.6,Low
West Pokot,Lomut,Town,rangeland,974.0,15183.977910764155,10170722.246168222,0.0,3.0,0,0.0,0.8,Low
West Pokot,Lotongot,Town,rangeland,979.0,16263.496431888487,10177049.784683472,0.0,3.0,0,0.0,0.8,Low
West Pokot,Lotongot,Town,rangeland,959.0,9952.809692856561,10183377.323772239,0.0,3.0,0,1.5,1.0,Low
West Pokot,Lotongot,Town,rangeland,943.0,3701.714923436091,10189704.863433452,0.0,3.0,0,3.0,1.4,Low
